=== iter1: crafty+F736+domain (old champion) ===
22:50:43 Grounding...
22:50:44 Grounding done (1.50s)
22:50:44 Solving...
22:50:45 Model found (2.36s): [-72, -5392]
22:50:46 Model found (3.19s, +0.00s): [-72, -9682]
22:50:46 Model found (3.19s, +0.00s): [-72, -9692]
22:50:46 Model found (3.19s, +0.00s): [-72, -9702]
22:50:46 Model found (3.20s, +0.00s): [-72, -9712]
22:50:46 Model found (3.20s, +0.00s): [-72, -9722]
22:50:46 Model found (3.20s, +0.00s): [-72, -9732]
22:50:46 Model found (3.20s, +0.00s): [-72, -9742]
22:50:46 Model found (3.20s, +0.00s): [-72, -9752]
22:50:46 Model found (3.21s, +0.00s): [-72, -9762]
22:50:46 Model found (3.21s, +0.00s): [-72, -9772]
22:50:46 Model found (3.21s, +0.00s): [-72, -9782]
22:50:46 Model found (3.21s, +0.00s): [-72, -9792]
22:50:46 Model found (3.21s, +0.00s): [-72, -9802]
22:50:46 Model found (3.22s, +0.00s): [-72, -9812]
22:50:46 Model found (3.22s, +0.00s): [-72, -9822]
22:50:46 Model found (3.22s, +0.00s): [-72, -9832]
22:50:46 Model found (3.22s, +0.00s): [-72, -9842]
22:50:46 Model found (3.22s, +0.00s): [-72, -9852]
